name,ticker,status,market,dividend_group,dividend_amount,dividend_annual_amount,dividend_yield_pct,last_dividend_date,next_dividend_estimate,dividend_frequency_days,dividend_summary,etf_nav,etf_premium_pct,etf_summary,etf_now_source_date,etf_now_signal,etf_now_return_pct,etf_now_buy_price,etf_now_buy_date,etf_now_summary,etf_holdings_source,etf_holdings_source_date,etf_holdings_count,etf_holdings_top,etf_holdings_weighted_move_pct,etf_holdings_summary,preopen_score,preopen_summary,intraday_1m_score,intraday_1m_trend,intraday_1m_summary,ai_label,ai_score,ai_reason,sector,label,action,action_reason,score,raw_score,technical_score,volume_score,flow_score,news_score,market_score,risk,overheated,chase_risk,market_regime,market_risk,price,daily_close,price_source,change_source,price_drift_pct,change_pct,gap_pct,volume_ratio,trade_value_ratio,liquidity_confirmed,trade_value,rsi,macd_bullish,atr_pct,patterns,reasons,risks,flow,flow_status,foreign_net,institution_net,news,news_source,news_one_line,news_strength,headlines,data_sources,sector_score,sector_risk,sector_summary,mobile_intel_generated_at,mobile_today_score,mobile_ai_explain,mobile_lead_signal,mobile_missed_signal,mobile_risk_signal,mobile_breaking_signal,mobile_sector_rotation,mobile_market_risk,mobile_capital_flow,mobile_theme_link,mobile_position_ai,mobile_sector_keywords,mobile_news_price_forecast,mobile_news_focus,mobile_trendline_anchor_date,mobile_trendline_anchor_price,mobile_trendline_up,mobile_trendline_down,mobile_trendline_status
TIGER 미국필라델피아반도체나스닥,381180.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,47457.13,0.66,"NAV 47,457원 · 괴리율 +0.66% · 고평가",,,0.0,0.0,,ETF NOW 보유/매수 신호 없음 · 2026-05-24 기준,https://stockanalysis.com/quote/krx/381180/holdings/,"May 21, 2026",10,NVDA 8.05% · 당일 -1.90% · 기여 -0.15%p | MU 7.30% · 당일 -1.46% · 기여 -0.11%p | AVGO 6.93% · 당일 -0.10% · 기여 -0.01%p | Phlx Semiconductor Sector Total Return Index Trs 2 5.78% · 당일 등락 확인중 · 기여 계산 대기 | INTC 5.24% · 당일 +1.13% · 기여 +0.06%p | Phlx Semiconductor Sector Total Return Index Trs 2 5.04% · 당일 등락 확인중 · 기여 계산 대기 | MRVL 4.65% · 당일 +2.96% · 기여 +0.14%p | AMD 4.46% · 당일 +3.99% · 기여 +0.18%p | 423920.KQ 4.24% · 당일 +4.93% · 기여 +0.21%p | TXN 3.07% · 당일 +3.63% · 기여 +0.11%p,0.43,"상위 10개 보유비중 · May 21, 2026 기준 · 가중 등락 +0.43%p",0.0,본장 전/초반 1시간 중립 · 초반 +0.11%,16.0,강함,1분봉 강함 · 장중 +0.89% · 최근 +0.02% · 거래 0.9배,AI 관망,4,지금은 확실한 우위가 부족합니다.,국장/TIGER ETF/미국반도체,보류,🚫 제외,리스크 과다,38,68.0,53.0,0.0,0.0,0.0,15.0,30.0,False,True,상승장,6.0,47770.0,47770.0,naver_realtime,naver_realtime_calculated,0.0,2.27,1.25,0.65,0.7,False,69823116040.0,78.3,False,3.01,일반 모멘텀,"추세 상승, 20일 고점 돌파, 건전한 갭 상승, 1분봉 강함 · 장중 +0.89% · 최근 +0.02% · 거래 0.9배","RSI 과열, 20일 범위 상단 추격, 뉴스 호재 강도 약함, 뉴스 리스크: 약한 호재: 상승 / 악재: 하락, 매수 확인 부족: 거래량 0.65x / 거래대금 0.70x, 리스크 30 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,약한 호재: 상승 / 악재: 하락,google_news,악재 뉴스: 불장 속 엇갈린 투심···기관 '상승장' 베팅-개미 '하락장' 기웃 (2026-05-21),weak,"불장 속 엇갈린 투심···기관 '상승장' 베팅-개미 '하락장' 기웃 (2026-05-21) | 18일, 외국인 거래소에서 삼성SDI(-0.16%), 삼성전자우(+3.18%) 등 순매수 (2026-05-18)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m, etf_now, etf_holdings",,,섹터 확인 부족,2026-05-23 20:24:39 PDT,42,관망 · 추격 부담 낮음 · 악재 뉴스: 불장 속 엇갈린 투심···기관 '상승장' 베팅-개미 '하락장' 기웃 (2026-05-21),선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,TIGER ETF/미국반도체 흐름 · 평균 +2.27% · 거래량 0.7배 · 대표 TIGER 미국필라델피아반도체나스닥,공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,"기준 현재가 47,770 · 손절 참고 46,332 · 1차 익절 참고 49,681","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화","악재 영향 예상: -3.0~-4.5% (45,620원 부근까지 경계) · 회복 기준 48,725원 돌파","악재 뉴스: 불장 속 엇갈린 투심···기관 '상승장' 베팅-개미 '하락장' 기웃 (2026-05-21) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,47770.0,48384.37,47194.8492,당일 고정
기가비스,420770.KQ,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,-8.0,본장 전/초반 1시간 약세 · 초반 -5.92% · 방어 우선,0.0,중립,1분봉 중립 · 장중 -4.16% · 최근 -0.66%,AI 관망,41,지금은 확실한 우위가 부족합니다.,반도체검사,보류,🚫 제외,리스크 과다,38,67.0,40.0,12.0,0.0,0.0,15.0,29.0,False,False,상승장,6.0,119800.0,119800.0,naver_realtime,naver_realtime_calculated,0.0,-4.62,-1.04,1.36,1.47,True,23095403400.0,61.5,True,9.67,일반 모멘텀,"추세 상승, 거래량 증가(1.4x), RSI 건강 구간, MACD 상승","변동성 과다, 뉴스 호재 강도 약함, 본장 전/초반 1시간 약세 · 초반 -5.92% · 방어 우선, 리스크 29 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,약한 호재: 증가,google_news,"호재 뉴스: 최종균 이사, 기가비스 주식 4000주 매도 (2026-05-22)",weak,"최종균 이사, 기가비스 주식 4000주 매도 (2026-05-22) | 이용규 전무, 기가비스 주식 2320주 증가 (2026-05-14)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,57,"관망 · 거래량 1.4배 · 호재 뉴스: 최종균 이사, 기가비스 주식 4000주 매도 (2026-05-22) · 놓친 상승 복기: 이전 놓친 상승 패턴 1회",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"반도체검사 흐름 · 평균 +3.72% · 거래량 1.3배 · 대표 기가비스, 엑시콘",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,"기준 현재가 119,800 · 손절 참고 108,215 · 1차 익절 참고 134,281","최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증","호재 영향 예상: +4.3~+7.8% (129,092원 부근까지 시도) · 이탈 기준 114,587원","호재 뉴스: 최종균 이사, 기가비스 주식 4000주 매도 (2026-05-22) · 최대 호재: HBM 수주, 엔비디아 공급, 장비 발주, 수율 개선 / 최대 악재: 어닝 쇼크, 컨센서스 하회, 수출 통제, 재고 급증",2026-05-23,119800.0,125013.097,114723.3552,당일 고정
아시아나항공,020560.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,-8.0,본장 전/초반 1시간 약세 · 초반 -1.06% · 방어 우선,0.0,중립,1분봉 중립 · 장중 -1.06% · 최근 +0.00%,AI 관망,30,지금은 확실한 우위가 부족합니다.,항공,보류,🚫 제외,리스크 과다,38,81.0,58.0,0.0,0.0,0.0,23.0,43.0,False,False,상승장,6.0,7460.0,7460.0,naver_realtime,naver_realtime_calculated,0.0,2.47,3.3,0.42,0.42,False,844688340.0,57.0,True,4.32,눌림 후 재상승,"추세 상승, 눌림 후 재상승, RSI 건강 구간, MACD 상승, 상승장 눌림 재상승","거래대금 부족, 뉴스 호재 강도 약함, 뉴스 리스크: 약한 호재: 증가 / 악재: 차입금, 희석, 본장 전/초반 1시간 약세 · 초반 -1.06% · 방어 우선, 매수 확인 부족: 거래량 0.42x / 거래대금 0.42x, 리스크 43 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,"약한 호재: 증가 / 악재: 차입금, 희석",google_news,"악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15)",weak,"대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15) | 통합 대한항공, 12월 17일 공식 출범…아시아나항공 역사 속으로 (2026-05-15)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,40,"관망 · 추격 부담 낮음 · 악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"항공 흐름 · 평균 +2.39% · 거래량 0.8배 · 대표 대한항공, 티웨이항공, 아시아나항공",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,우주항공 → 위성 → 통신장비 → 소재,"기준 현재가 7,460 · 손절 참고 7,138 · 1차 익절 참고 7,863","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화","악재 영향 예상: -3.4~-6.2% (6,999원 부근까지 경계) · 회복 기준 7,609원 돌파","악재 뉴스: 대한항공, 아시아나 품고 차입금 2배↑…한신평 “일시적 재무 충격 후 ‘3대 통합 시너지’ 기대” (2026-05-15) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,7460.0,7619.7634,7331.0912,당일 고정
한화,000880.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,10.0,본장 전/초반 1시간 강세 · 초반 +2.28% · 오늘 우호적,16.0,강함,1분봉 강함 · 장중 +3.16% · 최근 +0.79% · 거래 1.5배,AI 관망,25,지금은 확실한 우위가 부족합니다.,지주/방산,보류,🚫 제외,리스크 과다,38,64.0,28.0,0.0,0.0,11.0,25.0,26.0,False,False,상승장,6.0,140500.0,140500.0,naver_realtime,naver_realtime_calculated,0.0,4.38,1.78,0.63,0.65,False,28284757500.0,55.6,False,8.31,본장 전/초반 강세,"RSI 건강 구간, 건전한 갭 상승, 뉴스 키워드: 보통 호재: 투자, 실적 / 약한 호재: 확대, 돌파 / 악재: 부진, 1분봉 강함 · 장중 +3.16% · 최근 +0.79% · 거래 1.5배, 본장 전/초반 1시간 강세 · 초반 +2.28% · 오늘 우호적","변동성 과다, 뉴스 리스크: 보통 호재: 투자, 실적 / 약한 호재: 확대, 돌파 / 악재: 부진, 매수 확인 부족: 거래량 0.63x / 거래대금 0.65x, 리스크 26 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,"보통 호재: 투자, 실적 / 약한 호재: 확대, 돌파 / 악재: 부진",google_news,"악재 뉴스: 한화에어로, KAI 주식 추가 매입…방산업계 “인수땐 한화 수직 계열화 달성 할 듯” (2026-05-23)",medium,"한화에어로, KAI 주식 추가 매입…방산업계 “인수땐 한화 수직 계열화 달성 할 듯” (2026-05-23) | 한화투자證, 두나무 지분 확대…디지털자산 사업 ‘속도전’ (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",,,섹터 확인 부족,2026-05-23 20:24:39 PDT,38,"관망 · 악재 뉴스: 한화에어로, KAI 주식 추가 매입…방산업계 “인수땐 한화 수직 계열화 달성 할 듯” (2026-05-23)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,지주/방산 흐름 · 평균 +4.38% · 거래량 0.6배 · 대표 한화,공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 140,500 · 손절 참고 128,824 · 1차 익절 참고 155,094","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화","악재 영향 예상: -5.8~-10.5% (125,789원 부근까지 경계) · 회복 기준 145,754원 돌파","악재 뉴스: 한화에어로, KAI 주식 추가 매입…방산업계 “인수땐 한화 수직 계열화 달성 할 듯” (2026-05-23) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,140500.0,145895.0595,135829.78,당일 고정
GS리테일,007070.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,-8.0,본장 전/초반 1시간 약세 · 초반 -2.18% · 방어 우선,14.0,강함,1분봉 강함 · 장중 -0.73% · 최근 +0.37% · 거래 4.0배,AI 관망,22,지금은 확실한 우위가 부족합니다.,편의점,보류,🚫 제외,리스크 과다,38,73.0,58.0,0.0,0.0,0.0,15.0,35.0,False,False,상승장,6.0,27350.0,27350.0,naver_realtime,naver_realtime_calculated,0.0,-0.18,0.91,0.44,0.46,False,3704256650.0,64.9,True,6.63,일반 모멘텀,"추세 상승, RSI 건강 구간, MACD 상승, 건전한 갭 상승, 1분봉 강함 · 장중 -0.73% · 최근 +0.37% · 거래 4.0배","변동성 과다, 뉴스 리스크: 악재: 처분, 본장 전/초반 1시간 약세 · 초반 -2.18% · 방어 우선, 매수 확인 부족: 거래량 0.44x / 거래대금 0.46x, 리스크 35 이상으로 신규 관심 제외",수급 수집 실패,unavailable,0.0,0.0,악재: 처분,google_news,"악재 뉴스: 목소리로 전한 나눔…GS리테일, 다문화가정 아동에 오디오북 기부 (2026-05-22)",none,"목소리로 전한 나눔…GS리테일, 다문화가정 아동에 오디오북 기부 (2026-05-22) | GS리테일, 다문화가정 아동에 오디오북 기부…임직원 목소리 담아 - v.daum.net (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,10,"관망 · 추격 부담 낮음 · 악재 뉴스: 목소리로 전한 나눔…GS리테일, 다문화가정 아동에 오디오북 기부 (2026-05-22)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"편의점 흐름 · 평균 -0.88% · 거래량 0.6배 · 대표 GS리테일, BGF리테일",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 27,350 · 손절 참고 25,537 · 1차 익절 참고 29,617","최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화","악재 영향 예상: -4.9~-9.0% (24,902원 부근까지 경계) · 회복 기준 28,166원 돌파","악재 뉴스: 목소리로 전한 나눔…GS리테일, 다문화가정 아동에 오디오북 기부 (2026-05-22) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,27350.0,28097.6122,26620.7396,당일 고정
더존비즈온,012510.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 +0.00%,0.0,중립,1분봉 중립 · 장중 +0.00% · 최근 +0.00%,AI 관망,30,지금은 확실한 우위가 부족합니다.,소프트웨어,보류,대기,매매 근거 부족,38,59.0,30.0,0.0,0.0,14.0,15.0,21.0,False,False,상승장,6.0,120000.0,120000.0,naver_realtime,naver_realtime_calculated,0.0,0.0,0.0,0.11,0.11,False,685440000.0,50.0,False,0.79,일반 모멘텀,"추세 상승, RSI 건강 구간, 뉴스 키워드: 강한 호재: 계약, 공급","거래대금 부족, 매수 확인 부족: 거래량 0.11x / 거래대금 0.11x",수급 수집 실패,unavailable,0.0,0.0,"강한 호재: 계약, 공급",google_news,호재 뉴스: [오늘의 IR] 현대백화점ㆍ더존비즈온ㆍHLB이노베이션 등 (2026-05-22),strong,"[오늘의 IR] 현대백화점ㆍ더존비즈온ㆍHLB이노베이션 등 (2026-05-22) | [CAIO 포럼] 지용구 더존비즈온 공동대표 “AI 시대, CEO는 'CXO'가 되어야” (2026-05-21)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,61,관망 · 추격 부담 낮음 · 호재 뉴스: [오늘의 IR] 현대백화점ㆍ더존비즈온ㆍHLB이노베이션 등 (2026-05-22),선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"소프트웨어 흐름 · 평균 +1.94% · 거래량 0.4배 · 대표 더존비즈온, 알서포트",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,대표 테마 연결 대기,"기준 현재가 120,000 · 손절 참고 116,400 · 1차 익절 참고 124,800",섹터 최대 호재: 계약,"호재 영향 예상: +2.7~+4.9% (125,850원 부근까지 시도) · 이탈 기준 117,600원",호재 뉴스: [오늘의 IR] 현대백화점ㆍ더존비즈온ㆍHLB이노베이션 등 (2026-05-22) · 섹터 최대 호재: 계약,2026-05-23,120000.0,121440.0,118800.0,당일 고정
HDC현대산업개발,294870.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,본장 전/초반 1시간 중립 · 초반 +0.93%,24.0,강함,1분봉 강함 · 장중 +2.09% · 최근 +0.92% · 거래 4.2배,AI 관망,38,지금은 확실한 우위가 부족합니다.,건설/저평가,보류,대기,매매 근거 부족,38,44.0,18.0,0.0,0.0,11.0,15.0,6.0,False,False,상승장,6.0,22000.0,22000.0,naver_realtime,naver_realtime_calculated,0.0,4.27,1.18,0.62,0.6,False,4385524000.0,44.4,False,4.45,일반 모멘텀,"건전한 갭 상승, 뉴스 키워드: 강한 호재: 수주 / 약한 호재: 확대, 1분봉 강함 · 장중 +2.09% · 최근 +0.92% · 거래 4.2배",매수 확인 부족: 거래량 0.62x / 거래대금 0.60x,수급 수집 실패,unavailable,0.0,0.0,강한 호재: 수주 / 약한 호재: 확대,google_news,"호재 뉴스: ‘인원 2배확대’ IPARK현대산업개발, 장애인 예술단 음악회 - catchnews.kr (2026-05-22)",strong,"‘인원 2배확대’ IPARK현대산업개발, 장애인 예술단 음악회 - catchnews.kr (2026-05-22) | 코스피200 달바글로벌 등 4사, 코스닥150 현대무벡스 등 16사 편입 (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,46,"관망 · 호재 뉴스: ‘인원 2배확대’ IPARK현대산업개발, 장애인 예술단 음악회 - catchnews.kr (2026-05-22)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"건설/저평가 흐름 · 평균 +3.01% · 거래량 0.6배 · 대표 HDC현대산업개발, 계룡건설, 금호건설",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,건설 → 건자재 → 철근/시멘트 → 리츠,"기준 현재가 22,000 · 손절 참고 21,021 · 1차 익절 참고 23,224","최대 호재: 대형 수주, 해외 수주, 정비사업 수주, 분양 완판 / 최대 악재: 철근 누락, 부실시공, 붕괴, 하자","호재 영향 예상: +3.5~+6.3% (23,394원 부근까지 시도) · 이탈 기준 21,559원","호재 뉴스: ‘인원 2배확대’ IPARK현대산업개발, 장애인 예술단 음악회 - catchnews.kr (2026-05-22) · 최대 호재: 대형 수주, 해외 수주, 정비사업 수주, 분양 완판 / 최대 악재: 철근 누락, 부실시공, 붕괴, 하자",2026-05-23,22000.0,22460.702,21608.4,당일 고정
종근당,185750.KS,ok,국장,해당 없음,0.0,0.0,0.0,,,0,해당 없음,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,10.0,본장 전/초반 1시간 강세 · 초반 +1.52% · 오늘 우호적,16.0,강함,1분봉 강함 · 장중 +1.27% · 최근 +0.13% · 거래 1.4배,AI 관망,29,지금은 확실한 우위가 부족합니다.,의료/제약,보류,대기,매매 근거 부족,37,43.0,18.0,0.0,0.0,0.0,25.0,6.0,False,False,상승장,6.0,80000.0,80000.0,naver_realtime,naver_realtime_calculated,0.0,2.43,1.02,0.76,0.73,False,1778080000.0,33.9,False,2.95,본장 전/초반 강세,"건전한 갭 상승, 1분봉 강함 · 장중 +1.27% · 최근 +0.13% · 거래 1.4배, 본장 전/초반 1시간 강세 · 초반 +1.52% · 오늘 우호적","뉴스 호재 강도 약함, 매수 확인 부족: 거래량 0.76x / 거래대금 0.73x",수급 수집 실패,unavailable,0.0,0.0,약한 호재: 확대,google_news,"호재 뉴스: ‘2년 연속 2조 클럽’ 유한양행, 제약사 매출액 ‘우승마’ 굳건…2~5위 순위권 향방은? (2026-05-22)",weak,"‘2년 연속 2조 클럽’ 유한양행, 제약사 매출액 ‘우승마’ 굳건…2~5위 순위권 향방은? (2026-05-22) | 종근당, 배곧 프로젝트 TFT 확대…바이오 인력 합류 (2026-05-22)","naver_daily, naver_realtime, news:google_news, flow:unavailable, intraday_1m",0.0,0.0,중립,2026-05-23 20:24:39 PDT,64,"관망 · 추격 부담 낮음 · 호재 뉴스: ‘2년 연속 2조 클럽’ 유한양행, 제약사 매출액 ‘우승마’ 굳건…2~5위 순위권 향방은? (2026-05-22)",선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"의료/제약 흐름 · 평균 +3.93% · 거래량 1.0배 · 대표 유한양행, HK이노엔, 보령",공격장 · 평균 +3.32% · 하락비중 12% · 관심 종목 압축,수급 수집 실패,의료/제약 → 임상/승인 → 장비/소모품,"기준 현재가 80,000 · 손절 참고 77,600 · 1차 익절 참고 83,200","최대 호재: FDA 승인, 임상 성공, 기술수출, 품목허가 / 최대 악재: 임상 실패, 허가 지연, 부작용, 소송","호재 영향 예상: +2.0~+3.2% (82,560원 부근까지 시도) · 이탈 기준 78,400원","호재 뉴스: ‘2년 연속 2조 클럽’ 유한양행, 제약사 매출액 ‘우승마’ 굳건…2~5위 순위권 향방은? (2026-05-22) · 최대 호재: FDA 승인, 임상 성공, 기술수출, 품목허가 / 최대 악재: 임상 실패, 허가 지연, 부작용, 소송",2026-05-23,80000.0,81017.52,79056.0,당일 고정
Bank of Montreal,BMO.TO,ok,캐나다,고배당,1.67,8.19,3.68,2026-04-29,2026-07-30,92,고배당 · 최근 1.67 CAD · 연 8.19 CAD · 배당률 3.68% · 최근 지급일 2026-04-29 · 다음 예상 2026-07-30,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,,0.0,,0.0,대기,,AI 관망,12,지금은 확실한 우위가 부족합니다.,캐나다/은행,보류,🚫 제외,리스크 과다,37,66.0,51.0,0.0,0.0,0.0,15.0,29.0,False,True,상승장,6.0,222.46,222.46,fast_quote,calculated,0.0,1.09,0.83,0.56,0.6,False,409860316.0,71.7,True,1.79,일반 모멘텀,"추세 상승, 20일 고점 돌파, MACD 상승, 건전한 갭 상승","20일 범위 상단 추격, 거래대금 부족, 매수 확인 부족: 거래량 0.56x / 거래대금 0.60x, 리스크 29 이상으로 신규 관심 제외",수급 확인 불가,no_code,0.0,0.0,뉴스 중립,google_news,관련 뉴스: TradingKey (2026-05-15),none,TradingKey (2026-05-15),"yahoo_daily, fast_quote, news:google_news, flow:no_code",0.0,0.0,중립,2026-05-23 20:24:39 PDT,41,관망 · 추격 부담 낮음 · 관련 뉴스: TradingKey (2026-05-15),선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,"은행 흐름 · 평균 +0.60% · 거래량 0.9배 · 대표 CIBC, Bank of Nova Scotia, TD Bank",중립장 · 평균 +0.21% · 하락비중 29% · 분할 접근,수급 확인 불가,대표 테마 연결 대기,기준 현재가 222 · 손절 참고 216 · 1차 익절 참고 231,"최대 호재: 금리 수혜, 배당 확대, 자사주, 충당금 감소 / 최대 악재: 연체율 상승, 충당금 증가, 부실채권, 규제",뉴스 영향 예상: 방향성 약함 · 가격/거래량 확인 우선,"관련 뉴스: TradingKey (2026-05-15) · 최대 호재: 금리 수혜, 배당 확대, 자사주, 충당금 감소 / 최대 악재: 연체율 상승, 충당금 증가, 부실채권, 규제",2026-05-23,222.46,225.1295,220.2354,당일 고정
Vanguard S&P 500 Index ETF,VFV.TO,ok,캐나다,저배당,0.424,1.951,1.06,2026-03-27,2026-06-26,91,저배당 · 최근 0.42 CAD · 연 1.95 CAD · 배당률 1.06% · 최근 지급일 2026-03-27 · 다음 예상 2026-06-26,0.0,0.0,,,,0.0,0.0,,,,,0,,0.0,보유비중 제외 · 가격/배당만 확인,0.0,,0.0,대기,,AI 관망,15,지금은 확실한 우위가 부족합니다.,캐나다/ETF,보류,🚫 제외,리스크 과다,37,66.0,51.0,0.0,0.0,0.0,15.0,29.0,False,True,상승장,6.0,183.2,183.2,fast_quote,calculated,0.0,0.56,0.49,1.06,1.09,True,47448799.0,76.9,True,0.98,일반 모멘텀,"추세 상승, 20일 고점 돌파, MACD 상승, 건전한 갭 상승","20일 범위 상단 추격, 거래대금 부족, 리스크 29 이상으로 신규 관심 제외",수급 확인 불가,no_code,0.0,0.0,뉴스 중립,google_news,관련 뉴스: 트럼프의 2026년 1분기 거래 공개···엔비디아·AMD·MS·오라클 등 어떤 주식 사고 팔았나 (2026-05-15),none,트럼프의 2026년 1분기 거래 공개···엔비디아·AMD·MS·오라클 등 어떤 주식 사고 팔았나 (2026-05-15),"yahoo_daily, fast_quote, news:google_news, flow:no_code, etf_holdings",,,섹터 확인 부족,2026-05-23 20:24:39 PDT,45,관망 · 추격 부담 낮음 · 관련 뉴스: 트럼프의 2026년 1분기 거래 공개···엔비디아·AMD·MS·오라클 등 어떤 주식 사고 팔았나 (2026-05-,선행 신호 대기,놓침 위험 낮음,위험 신호 보통,급변 신호 없음,ETF 흐름 · 평균 +0.56% · 거래량 1.1배 · 대표 Vanguard S&P 500 Index ETF,중립장 · 평균 +0.21% · 하락비중 29% · 분할 접근,수급 확인 불가,AI/반도체 → 전력 → 냉각 → 데이터센터 → 광통신,기준 현재가 183 · 손절 참고 178 · 1차 익절 참고 191,"최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",뉴스 영향 예상: 방향성 약함 · 가격/거래량 확인 우선,"관련 뉴스: 트럼프의 2026년 1분기 거래 공개···엔비디아·AMD·MS·오라클 등 어떤 주식 사고 팔았나 (2026-05-15) · 최대 호재: 수주, 계약, 실적 개선, 정책 수혜 / 최대 악재: 실적 부진, 규제, 원가 상승, 수요 둔화",2026-05-23,183.2,185.3984,181.368,당일 고정
